dataset,model_name,template,source_lang,target_lang,result_1,target_filename
codenet,llamafile_mistral,controlled_md,Go,C#,compile,192
codenet,llamafile_mistral,controlled_md,Go,C#,incorrect,2
codenet,llamafile_mistral,controlled_md,Go,C#,runtime,3
codenet,llamafile_mistral,controlled_md,Go,C#,unicode error,3
codenet,llamafile_mistral,controlled_md,Go,Java,compile,188
codenet,llamafile_mistral,controlled_md,Go,Java,incorrect,2
codenet,llamafile_mistral,controlled_md,Go,Java,runtime,5
codenet,llamafile_mistral,controlled_md,Go,Java,success,1
codenet,llamafile_mistral,controlled_md,Go,Java,unicode error,4
codenet,llamafile_mistral,controlled_md,Go,Python,compile,177
codenet,llamafile_mistral,controlled_md,Go,Python,incorrect,8
codenet,llamafile_mistral,controlled_md,Go,Python,runtime,10
codenet,llamafile_mistral,controlled_md,Go,Python,success,1
codenet,llamafile_mistral,controlled_md,Go,Python,unicode error,4
codenet,llamafile_mistral,controlled_md,Go,Rust,compile,195
codenet,llamafile_mistral,controlled_md,Go,Rust,incorrect,2
codenet,llamafile_mistral,controlled_md,Go,Rust,unicode error,3
codenet,llamafile_mistral,controlled_md,Java,C#,compile,197
codenet,llamafile_mistral,controlled_md,Java,C#,unicode error,3
codenet,llamafile_mistral,controlled_md,Java,Go,compile,194
codenet,llamafile_mistral,controlled_md,Java,Go,incorrect,2
codenet,llamafile_mistral,controlled_md,Java,Go,unicode error,4
codenet,llamafile_mistral,controlled_md,Java,Python,compile,179
codenet,llamafile_mistral,controlled_md,Java,Python,incorrect,10
codenet,llamafile_mistral,controlled_md,Java,Python,runtime,6
codenet,llamafile_mistral,controlled_md,Java,Python,success,1
codenet,llamafile_mistral,controlled_md,Java,Python,unicode error,4
codenet,llamafile_mistral,controlled_md,Java,Rust,compile,193
codenet,llamafile_mistral,controlled_md,Java,Rust,incorrect,2
codenet,llamafile_mistral,controlled_md,Java,Rust,runtime,1
codenet,llamafile_mistral,controlled_md,Java,Rust,unicode error,4
codenet,llamafile_mistral,controlled_md,Python,C#,compile,199
codenet,llamafile_mistral,controlled_md,Python,C#,incorrect,1
codenet,llamafile_mistral,controlled_md,Python,Go,compile,196
codenet,llamafile_mistral,controlled_md,Python,Go,incorrect,3
codenet,llamafile_mistral,controlled_md,Python,Go,runtime,1
codenet,llamafile_mistral,controlled_md,Python,Java,compile,188
codenet,llamafile_mistral,controlled_md,Python,Java,incorrect,2
codenet,llamafile_mistral,controlled_md,Python,Java,runtime,5
codenet,llamafile_mistral,controlled_md,Python,Java,success,4
codenet,llamafile_mistral,controlled_md,Python,Java,unicode error,1
codenet,llamafile_mistral,controlled_md,Python,Rust,compile,199
codenet,llamafile_mistral,controlled_md,Python,Rust,incorrect,1
avatar,llamafile_mistral,controlled_md,Java,C#,compile,245
avatar,llamafile_mistral,controlled_md,Java,C#,incorrect,1
avatar,llamafile_mistral,controlled_md,Java,C#,runtime,1
avatar,llamafile_mistral,controlled_md,Java,C#,unicode error,2
avatar,llamafile_mistral,controlled_md,Java,Go,compile,248
avatar,llamafile_mistral,controlled_md,Java,Go,unicode error,1
avatar,llamafile_mistral,controlled_md,Java,Python,compile,222
avatar,llamafile_mistral,controlled_md,Java,Python,incorrect,12
avatar,llamafile_mistral,controlled_md,Java,Python,runtime,13
avatar,llamafile_mistral,controlled_md,Java,Python,unicode error,2
avatar,llamafile_mistral,controlled_md,Java,Rust,compile,247
avatar,llamafile_mistral,controlled_md,Java,Rust,incorrect,1
avatar,llamafile_mistral,controlled_md,Java,Rust,unicode error,1
avatar,llamafile_mistral,controlled_md,Python,C#,compile,248
avatar,llamafile_mistral,controlled_md,Python,C#,runtime,1
avatar,llamafile_mistral,controlled_md,Python,C#,unicode error,1
avatar,llamafile_mistral,controlled_md,Python,Go,compile,250
avatar,llamafile_mistral,controlled_md,Python,Java,compile,240
avatar,llamafile_mistral,controlled_md,Python,Java,incorrect,4
avatar,llamafile_mistral,controlled_md,Python,Java,runtime,6
avatar,llamafile_mistral,controlled_md,Python,Rust,compile,250
bithacks,llamafile_mistral,controlled_md,Python,C#,compile,14
bithacks,llamafile_mistral,controlled_md,Python,Go,compile,14
bithacks,llamafile_mistral,controlled_md,Python,Java,compile,14
bithacks,llamafile_mistral,controlled_md,Python,Rust,compile,14
codenet,llamafile_mixtral,controlled_md,Go,C#,compile,132
codenet,llamafile_mixtral,controlled_md,Go,C#,incorrect,22
codenet,llamafile_mixtral,controlled_md,Go,C#,runtime,28
codenet,llamafile_mixtral,controlled_md,Go,C#,success,14
codenet,llamafile_mixtral,controlled_md,Go,C#,unicode error,4
codenet,llamafile_mixtral,controlled_md,Go,Java,compile,127
codenet,llamafile_mixtral,controlled_md,Go,Java,incorrect,8
codenet,llamafile_mixtral,controlled_md,Go,Java,runtime,7
codenet,llamafile_mixtral,controlled_md,Go,Java,success,54
codenet,llamafile_mixtral,controlled_md,Go,Java,unicode error,4
codenet,llamafile_mixtral,controlled_md,Go,Python,compile,196
codenet,llamafile_mixtral,controlled_md,Go,Python,runtime,1
codenet,llamafile_mixtral,controlled_md,Go,Python,unicode error,3
codenet,llamafile_mixtral,controlled_md,Go,Rust,compile,165
codenet,llamafile_mixtral,controlled_md,Go,Rust,incorrect,13
codenet,llamafile_mixtral,controlled_md,Go,Rust,runtime,8
codenet,llamafile_mixtral,controlled_md,Go,Rust,success,10
codenet,llamafile_mixtral,controlled_md,Go,Rust,unicode error,4
codenet,llamafile_mixtral,controlled_md,Java,C#,compile,149
codenet,llamafile_mixtral,controlled_md,Java,C#,incorrect,19
codenet,llamafile_mixtral,controlled_md,Java,C#,runtime,19
codenet,llamafile_mixtral,controlled_md,Java,C#,success,9
codenet,llamafile_mixtral,controlled_md,Java,C#,unicode error,4
codenet,llamafile_mixtral,controlled_md,Java,Go,compile,197
codenet,llamafile_mixtral,controlled_md,Java,Go,unicode error,3
codenet,llamafile_mixtral,controlled_md,Java,Python,compile,172
codenet,llamafile_mixtral,controlled_md,Java,Python,incorrect,1
codenet,llamafile_mixtral,controlled_md,Java,Python,runtime,15
codenet,llamafile_mixtral,controlled_md,Java,Python,success,8
codenet,llamafile_mixtral,controlled_md,Java,Python,unicode error,4
codenet,llamafile_mixtral,controlled_md,Java,Rust,compile,124
codenet,llamafile_mixtral,controlled_md,Java,Rust,incorrect,10
codenet,llamafile_mixtral,controlled_md,Java,Rust,runtime,31
codenet,llamafile_mixtral,controlled_md,Java,Rust,success,31
codenet,llamafile_mixtral,controlled_md,Java,Rust,unicode error,4
codenet,llamafile_mixtral,controlled_md,Python,C#,compile,148
codenet,llamafile_mixtral,controlled_md,Python,C#,incorrect,15
codenet,llamafile_mixtral,controlled_md,Python,C#,runtime,5
codenet,llamafile_mixtral,controlled_md,Python,C#,success,31
codenet,llamafile_mixtral,controlled_md,Python,C#,unicode error,1
codenet,llamafile_mixtral,controlled_md,Python,Go,compile,199
codenet,llamafile_mixtral,controlled_md,Python,Go,incorrect,1
codenet,llamafile_mixtral,controlled_md,Python,Java,compile,199
codenet,llamafile_mixtral,controlled_md,Python,Java,incorrect,1
codenet,llamafile_mixtral,controlled_md,Python,Rust,compile,187
codenet,llamafile_mixtral,controlled_md,Python,Rust,incorrect,2
codenet,llamafile_mixtral,controlled_md,Python,Rust,runtime,3
codenet,llamafile_mixtral,controlled_md,Python,Rust,success,7
codenet,llamafile_mixtral,controlled_md,Python,Rust,unicode error,1
avatar,llamafile_mixtral,controlled_md,Java,C#,compile,223
avatar,llamafile_mixtral,controlled_md,Java,C#,incorrect,5
avatar,llamafile_mixtral,controlled_md,Java,C#,runtime,12
avatar,llamafile_mixtral,controlled_md,Java,C#,success,7
avatar,llamafile_mixtral,controlled_md,Java,C#,unicode error,2
avatar,llamafile_mixtral,controlled_md,Java,Go,compile,245
avatar,llamafile_mixtral,controlled_md,Java,Go,incorrect,3
avatar,llamafile_mixtral,controlled_md,Java,Go,unicode error,1
avatar,llamafile_mixtral,controlled_md,Java,Python,compile,231
avatar,llamafile_mixtral,controlled_md,Java,Python,incorrect,3
avatar,llamafile_mixtral,controlled_md,Java,Python,runtime,6
avatar,llamafile_mixtral,controlled_md,Java,Python,success,7
avatar,llamafile_mixtral,controlled_md,Java,Python,unicode error,2
avatar,llamafile_mixtral,controlled_md,Java,Rust,compile,200
avatar,llamafile_mixtral,controlled_md,Java,Rust,incorrect,13
avatar,llamafile_mixtral,controlled_md,Java,Rust,runtime,25
avatar,llamafile_mixtral,controlled_md,Java,Rust,success,9
avatar,llamafile_mixtral,controlled_md,Java,Rust,unicode error,2
avatar,llamafile_mixtral,controlled_md,Python,C#,compile,127
avatar,llamafile_mixtral,controlled_md,Python,C#,incorrect,50
avatar,llamafile_mixtral,controlled_md,Python,C#,runtime,27
avatar,llamafile_mixtral,controlled_md,Python,C#,success,45
avatar,llamafile_mixtral,controlled_md,Python,C#,unicode error,1
avatar,llamafile_mixtral,controlled_md,Python,Go,compile,249
avatar,llamafile_mixtral,controlled_md,Python,Go,incorrect,1
avatar,llamafile_mixtral,controlled_md,Python,Java,compile,246
avatar,llamafile_mixtral,controlled_md,Python,Java,incorrect,3
avatar,llamafile_mixtral,controlled_md,Python,Java,unicode error,1
avatar,llamafile_mixtral,controlled_md,Python,Rust,compile,234
avatar,llamafile_mixtral,controlled_md,Python,Rust,incorrect,6
avatar,llamafile_mixtral,controlled_md,Python,Rust,runtime,6
avatar,llamafile_mixtral,controlled_md,Python,Rust,success,3
avatar,llamafile_mixtral,controlled_md,Python,Rust,unicode error,1
bithacks,llamafile_mixtral,controlled_md,Python,C#,compile,7
bithacks,llamafile_mixtral,controlled_md,Python,C#,incorrect,4
bithacks,llamafile_mixtral,controlled_md,Python,C#,success,2
bithacks,llamafile_mixtral,controlled_md,Python,C#,unicode error,1
bithacks,llamafile_mixtral,controlled_md,Python,Go,compile,14
bithacks,llamafile_mixtral,controlled_md,Python,Java,compile,14
bithacks,llamafile_mixtral,controlled_md,Python,Rust,compile,10
bithacks,llamafile_mixtral,controlled_md,Python,Rust,incorrect,1
bithacks,llamafile_mixtral,controlled_md,Python,Rust,runtime,1
bithacks,llamafile_mixtral,controlled_md,Python,Rust,success,1
bithacks,llamafile_mixtral,controlled_md,Python,Rust,unicode error,1
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,C#,compile,67
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,C#,incorrect,45
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,C#,runtime,51
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,C#,success,33
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,C#,unicode error,4
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Java,compile,43
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Java,incorrect,22
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Java,runtime,24
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Java,success,107
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Java,unicode error,4
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Python,compile,20
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Python,incorrect,30
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Python,runtime,71
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Python,success,75
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Python,unicode error,4
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Rust,compile,145
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Rust,incorrect,12
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Rust,runtime,16
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Rust,success,23
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Go,Rust,unicode error,4
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,C#,compile,110
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,C#,incorrect,25
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,C#,runtime,39
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,C#,success,22
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,C#,unicode error,4
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Go,compile,145
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Go,incorrect,28
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Go,runtime,6
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Go,success,17
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Go,unicode error,4
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Python,compile,15
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Python,incorrect,50
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Python,runtime,84
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Python,success,47
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Python,unicode error,4
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Rust,compile,126
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Rust,incorrect,12
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Rust,runtime,33
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Rust,success,25
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Java,Rust,unicode error,4
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,C#,compile,41
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,C#,incorrect,37
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,C#,runtime,17
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,C#,success,104
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,C#,unicode error,1
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Go,compile,145
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Go,incorrect,24
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Go,runtime,13
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Go,success,17
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Go,unicode error,1
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Java,compile,32
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Java,incorrect,23
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Java,runtime,26
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Java,success,118
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Java,unicode error,1
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Rust,compile,119
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Rust,incorrect,18
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Rust,runtime,20
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Rust,success,42
codenet,llamafile_dolphin-2.6-mistral,controlled_md,Python,Rust,unicode error,1
avatar,llamafile_dolphin-2.6-mistral,controlled_md,Java,C#,compile,137
avatar,llamafile_dolphin-2.6-mistral,controlled_md,Java,C#,incorrect,17
avatar,llamafile_dolphin-2.6-mistral,controlled_md,Java,C#,runtime,49
avatar,llamafile_dolphin-2.6-mistral,controlled_md,Java,C#,success,44
avatar,llamafile_dolphin-2.6-mistral,controlled_md,Java,C#,unicode error,2
avatar,llamafile_dolphin-2.6-mistral,controlled_md,Java,Go,compile,189
avatar,llamafile_dolphin-2.6-mistral,controlled_md,Java,Go,incorrect,37
avatar,llamafile_dolphin-2.6-mistral,controlled_md,Java,Go,runtime,7
