Dataset,Model,Prompt,success,compile,runtime,incorrect,All
All,codestral,controlled_md,181,83,124,30,418
All,dolphin-2.6-mistral,controlled,36,282,66,34,418
All,dolphin-2.6-mistral,controlled_md,39,274,75,30,418
All,dolphin-2.6-mistral,via_description,35,275,63,45,418
All,dolphin-2.6-phi-2,controlled,0,406,2,10,418
All,dolphin-2.6-phi-2,controlled_md,0,408,1,9,418
All,dolphin-2.7-mixtral,controlled_md,65,232,97,24,418
All,llama3-8b,controlled_md,23,358,26,11,418
All,mistral,controlled,1,405,2,10,418
All,mistral,controlled_md,3,387,14,14,418
All,mistral,via_description,3,370,16,29,418
All,mixtral,controlled,46,301,54,17,418
All,mixtral,controlled_md,47,280,62,29,418
All,phi3,controlled_md,3,373,16,26,418
avatar,codestral,controlled_md,88,50,64,20,222
avatar,dolphin-2.6-mistral,controlled,11,158,34,19,222
avatar,dolphin-2.6-mistral,controlled_md,13,149,42,18,222
avatar,dolphin-2.6-mistral,via_description,13,160,29,20,222
avatar,dolphin-2.6-phi-2,controlled,0,215,1,6,222
avatar,dolphin-2.6-phi-2,controlled_md,0,218,0,4,222
avatar,dolphin-2.7-mixtral,controlled_md,28,130,50,14,222
avatar,llama3-8b,controlled_md,4,206,8,4,222
avatar,mistral,controlled,0,218,0,4,222
avatar,mistral,controlled_md,2,214,3,3,222
avatar,mistral,via_description,0,208,4,10,222
avatar,mixtral,controlled,18,168,26,10,222
avatar,mixtral,controlled_md,13,162,30,17,222
avatar,phi3,controlled_md,1,208,3,10,222
codenet,codestral,controlled_md,93,33,60,10,196
codenet,dolphin-2.6-mistral,controlled,25,124,32,15,196
codenet,dolphin-2.6-mistral,controlled_md,26,125,33,12,196
codenet,dolphin-2.6-mistral,via_description,22,115,34,25,196
codenet,dolphin-2.6-phi-2,controlled,0,191,1,4,196
codenet,dolphin-2.6-phi-2,controlled_md,0,190,1,5,196
codenet,dolphin-2.7-mixtral,controlled_md,37,102,47,10,196
codenet,llama3-8b,controlled_md,19,152,18,7,196
codenet,mistral,controlled,1,187,2,6,196
codenet,mistral,controlled_md,1,173,11,11,196
codenet,mistral,via_description,3,162,12,19,196
codenet,mixtral,controlled,28,133,28,7,196
codenet,mixtral,controlled_md,34,118,32,12,196
codenet,phi3,controlled_md,2,165,13,16,196
